Borough,Census Tract,Population
Brooklyn,044700,1883
Brooklyn,044800,2061
Brooklyn,044900,3100
Brooklyn,045000,738
Brooklyn,045200,2817
Brooklyn,045300,1616
Brooklyn,045400,2110
Brooklyn,045600,2330
Brooklyn,045800,1513
Brooklyn,046000,3668
Brooklyn,046201,2447
Brooklyn,046202,1490
Brooklyn,046400,2537
Brooklyn,046800,982
Brooklyn,047000,3020
Brooklyn,047200,2969
Brooklyn,047400,2983
Brooklyn,047600,3794
Brooklyn,047700,2276
Brooklyn,047800,4916
Brooklyn,048000,3442
Brooklyn,048100,2772
Brooklyn,048200,5310
Brooklyn,048400,5244
Brooklyn,048500,1613
Brooklyn,048600,3576
Brooklyn,048800,4393
Brooklyn,048900,4020
Brooklyn,049000,6153
Brooklyn,049100,5453
Brooklyn,049200,3346
Brooklyn,049300,7681
Brooklyn,049400,5596
Brooklyn,049500,2727
Brooklyn,049600,4560
Brooklyn,049700,2228
Brooklyn,049800,4069
Brooklyn,049900,1649
Brooklyn,050000,3680
Brooklyn,050100,2646
Brooklyn,050202,2150
Brooklyn,050300,2735
Brooklyn,050400,4463
Brooklyn,050500,4211
Brooklyn,050600,6187
Brooklyn,050700,728
Brooklyn,050801,4342
Brooklyn,050803,2896
Brooklyn,050804,6646
Brooklyn,050900,1838
Brooklyn,051001,3829
Brooklyn,051002,5444
Brooklyn,051100,3730
Brooklyn,051200,6871
Brooklyn,051300,4362
Brooklyn,051400,7692
Brooklyn,051500,877
Brooklyn,051601,5587
Brooklyn,051602,4168
Brooklyn,051700,1514
Brooklyn,051800,3678
Brooklyn,051900,3043
Brooklyn,052000,4399
Brooklyn,052300,5729
Brooklyn,052500,3537
Brooklyn,052600,4515
Brooklyn,052700,7277
Brooklyn,052800,2105
Brooklyn,052900,4295
Brooklyn,053000,3564
Brooklyn,053100,2582
Brooklyn,053200,2757
Brooklyn,053300,7560
Brooklyn,053400,4612
Brooklyn,053500,4880
Brooklyn,053700,1963
Brooklyn,053800,4701
Brooklyn,053900,3476
Brooklyn,054200,4469
Brooklyn,054300,38
Brooklyn,054400,3705
Brooklyn,054500,8257
Brooklyn,054600,4571
Brooklyn,054700,3364
Brooklyn,054800,2077
Brooklyn,054900,1488
Brooklyn,055000,3572
Brooklyn,055100,4313
Brooklyn,055200,3489
Brooklyn,055300,2583
Brooklyn,055400,4284
Brooklyn,055500,875
Brooklyn,055600,3806
Brooklyn,055700,1168
Brooklyn,055800,2533
Brooklyn,056000,3571
Brooklyn,056100,3728
Brooklyn,056200,1673
Brooklyn,056300,4440
Brooklyn,056400,2442
Brooklyn,056500,3563
Brooklyn,056600,2577
Brooklyn,056800,1343
Brooklyn,056900,1664
Brooklyn,057000,3292
Brooklyn,057100,5083
Brooklyn,057200,5633
Brooklyn,057300,2787
Brooklyn,057400,2626
Brooklyn,057500,5006
Brooklyn,057600,2836
Brooklyn,057800,2988
Brooklyn,057900,1362
Brooklyn,058000,3149
Brooklyn,058200,2999
Brooklyn,058400,3528
Brooklyn,058600,2327
Brooklyn,058800,3473
Brooklyn,058900,1774
Brooklyn,059000,1878
Brooklyn,059100,4277
Brooklyn,059200,3987
Brooklyn,059300,2488
Brooklyn,059401,7875
Brooklyn,059402,4614
Brooklyn,059600,2249
Brooklyn,059800,3310
Brooklyn,060000,6116
Brooklyn,060600,2472
Brooklyn,060800,3725
Brooklyn,061002,2747
Brooklyn,061003,1974
Brooklyn,061004,6582
Brooklyn,061200,1177
Brooklyn,061600,1521
Brooklyn,062000,1759
Brooklyn,062200,3064
Brooklyn,062600,2720
Brooklyn,062800,5509
Brooklyn,063200,1368
Brooklyn,063600,1283
Brooklyn,063800,1507
Brooklyn,064000,1488
Brooklyn,064200,2693
Brooklyn,064400,2299
Brooklyn,064600,2064
Brooklyn,064800,1974
Brooklyn,065000,1425
Brooklyn,065200,1173
Brooklyn,065400,1611
Brooklyn,065600,1826
Brooklyn,065800,1849
Brooklyn,066000,1662
Brooklyn,066200,1366
Brooklyn,066600,1
Brooklyn,067000,2364
Brooklyn,067200,1319
Brooklyn,067400,2009
Brooklyn,067600,1738
Brooklyn,067800,2637
Brooklyn,068000,1780
Brooklyn,068200,2238
Brooklyn,068600,1546
Brooklyn,068800,1559
Brooklyn,069000,1773
Brooklyn,069200,2353
Brooklyn,069601,3344
Brooklyn,069602,4583
Brooklyn,069800,1394
Brooklyn,070000,1736
Brooklyn,070201,6502
Brooklyn,070202,15
Brooklyn,070203,0
Brooklyn,070600,2876
Brooklyn,072000,1643
Brooklyn,072200,2853
Brooklyn,072400,1984
Brooklyn,072600,2535
Brooklyn,072800,3777
Brooklyn,073000,2327
Brooklyn,073200,2345
Brooklyn,073400,2165
Brooklyn,073600,3356
Brooklyn,073800,3306
Brooklyn,074000,3623
Brooklyn,074200,3348
Brooklyn,074400,2349
Brooklyn,074600,1985
Brooklyn,074800,2094
Brooklyn,075000,3148
Brooklyn,075200,1260
Brooklyn,075400,1600
Brooklyn,075600,1974
Brooklyn,075800,1877
Brooklyn,076000,2993
Brooklyn,076200,4671
Brooklyn,076400,4192
Brooklyn,076600,2297
Brooklyn,076800,3601
Brooklyn,077000,3063
Brooklyn,077200,3325
Brooklyn,077400,3121
Brooklyn,077600,4123
Brooklyn,078000,2555
Brooklyn,078200,4320
Brooklyn,078400,2740
Brooklyn,078600,4469
Brooklyn,078800,3775
Brooklyn,079000,5908
Brooklyn,079200,3815
Brooklyn,079400,1932
Brooklyn,079601,5195
Brooklyn,079602,5189
Brooklyn,079801,3579
Brooklyn,079802,5512
Brooklyn,080000,3927
Brooklyn,080200,4817
Brooklyn,080400,3380
Brooklyn,080600,2770
Brooklyn,080800,0
Brooklyn,081000,2444
Brooklyn,081400,3080
Brooklyn,081600,3011
Brooklyn,081800,5253
Brooklyn,082000,5392
Brooklyn,082200,7463
Brooklyn,082400,4448
Brooklyn,082600,6051
Brooklyn,082800,3985
Brooklyn,083000,6563
Brooklyn,083200,2563
Brooklyn,083400,2132
Brooklyn,083600,2186
Brooklyn,083800,2521
Brooklyn,084000,2512
Brooklyn,084600,2164
Brooklyn,084800,1792
Brooklyn,085000,1435
Brooklyn,085200,0
Brooklyn,085400,2210
Brooklyn,085600,3898
Brooklyn,085800,2443
Brooklyn,086000,3665
Brooklyn,086200,3395
Brooklyn,086400,2134
Brooklyn,086600,3215
Brooklyn,086800,3438
Brooklyn,087000,3216
Brooklyn,087200,3627
Brooklyn,087401,3315
Brooklyn,087600,1707
Brooklyn,087800,3165
Brooklyn,088000,2721
Brooklyn,088200,6761
Brooklyn,088400,5097
Brooklyn,088600,4650
Brooklyn,088800,4124
Brooklyn,089000,6566
Brooklyn,089200,4012
Brooklyn,089400,3664
Brooklyn,089600,3654
Brooklyn,089800,1530
Brooklyn,090000,5520
Brooklyn,090200,4884
Brooklyn,090600,4151
Brooklyn,090800,3376
Brooklyn,091000,5642
Brooklyn,091200,7340
Brooklyn,091600,4238
Brooklyn,091800,2847
Brooklyn,092000,2892
Brooklyn,092200,2865
Brooklyn,092400,2484
Brooklyn,092800,2801
Brooklyn,093000,2775
Brooklyn,093200,1356
Brooklyn,093400,2402
Brooklyn,093600,1876
Brooklyn,093800,2654
Brooklyn,094401,3350
Brooklyn,094402,2826
Brooklyn,094600,2090
Brooklyn,095000,3182
Brooklyn,095400,4742
Brooklyn,095600,3966
Brooklyn,095800,3351
Brooklyn,096000,3
Brooklyn,096200,1674
Brooklyn,096400,2161
Brooklyn,096600,2128
Brooklyn,096800,1395
Brooklyn,097000,2078
Brooklyn,097400,2599
Brooklyn,098200,4542
Brooklyn,098400,2066
Brooklyn,098600,3128
Brooklyn,098800,3074
Brooklyn,099000,1531
Brooklyn,099200,1847
Brooklyn,099400,1930
Brooklyn,099600,3875
Brooklyn,099800,3736
Brooklyn,100400,2779
Brooklyn,100600,2581
Brooklyn,100800,2087
Brooklyn,101000,2155
Brooklyn,101200,2016
Brooklyn,101400,2189
Brooklyn,101600,1572
Brooklyn,101800,2020
Brooklyn,102000,2055
Brooklyn,102200,2106
Brooklyn,102400,2044
Brooklyn,102600,2775
Brooklyn,102800,1772
Brooklyn,103400,3899
Brooklyn,105801,7858
Brooklyn,105804,6763
Brooklyn,107000,294
Brooklyn,107800,4428
Brooklyn,109800,1488
Brooklyn,110400,4018
Brooklyn,110600,4277
Brooklyn,111000,3508
Brooklyn,111600,2315
Brooklyn,111800,2623
Brooklyn,112000,3142
Brooklyn,112200,2914
Brooklyn,112400,3253
Brooklyn,112600,3626
Brooklyn,112800,3937
Brooklyn,113000,3544
Brooklyn,113200,1387
Brooklyn,113400,2998
Brooklyn,114201,1736
Brooklyn,114202,2508
Brooklyn,114400,2213
Brooklyn,114600,3036
Brooklyn,115000,1763
Brooklyn,115200,2525
Brooklyn,115600,4076
Brooklyn,115800,2929
Brooklyn,116000,2604
Brooklyn,116200,2290
Brooklyn,116400,2766
Brooklyn,116600,2599
Brooklyn,116800,1957
Brooklyn,117000,1837
Brooklyn,117201,2914
Brooklyn,117202,4287
Brooklyn,117400,4268
Brooklyn,117601,2664
Brooklyn,117602,3173
Brooklyn,117800,1715
Brooklyn,118000,0
Brooklyn,118201,2902
Brooklyn,118202,3057
Brooklyn,118400,5106
Brooklyn,118600,3133
Brooklyn,118800,4560
Brooklyn,119000,1986
Brooklyn,119200,2400
Brooklyn,119400,3371
Brooklyn,119600,4972
Brooklyn,119800,3190
Brooklyn,120000,2247
Brooklyn,120200,1916
Brooklyn,120800,8483
Brooklyn,121000,3986
Brooklyn,121400,4384
Brooklyn,122000,2555
Brooklyn,123700,1838
Brooklyn,150200,2237
Brooklyn,152200,3407
Brooklyn,990100,0
Manhattan,000100,0
Manhattan,000201,3329
Manhattan,000202,6837
Manhattan,000500,2
Manhattan,000600,12276
Manhattan,000700,907
Manhattan,000800,10917
Manhattan,000900,1124
Manhattan,001001,1361
Manhattan,001002,6733
Manhattan,001200,3466
Manhattan,001300,1607
Manhattan,001401,2962
Manhattan,001402,3019
Manhattan,001501,4562
Manhattan,001502,3937
Manhattan,001600,9598
Manhattan,001800,10157
Manhattan,002000,5174
Manhattan,002100,2407
Manhattan,002201,6646
Manhattan,002202,1556
Manhattan,002400,5080
Manhattan,002500,5209
Manhattan,002601,3400
Manhattan,002602,3718
Manhattan,002700,1517
Manhattan,002800,6701
Manhattan,002900,7422
Manhattan,003001,4275
Manhattan,003002,3281
