latitude,longitude,total_students
40.6801965,-73.9214659440817,242
40.6917087,-73.9332613,148
40.67593365,-73.9393061118972,330
40.6495043,-73.9582573,532
40.6495043,-73.9582573,303
40.66994945,-73.9603477925102,421
40.66994945,-73.9603477925102,256
40.6588146,-73.9429774,416
40.6588146,-73.9429774,330
40.6495043,-73.9582573,347
40.6495043,-73.9582573,434
40.6495043,-73.9582573,532
40.6588146,-73.9429774,439
40.66994945,-73.9603477925102,477
40.66994945,-73.9603477925102,399
40.66693295,-73.9511847580102,1248
40.6690504,-73.9617294256254,1525
40.6588146,-73.9429774,170
40.67593365,-73.9393061118972,314
40.6477076,-73.9223956,513
40.6336432,-73.9175543,297
40.6336432,-73.9175543,401
40.6477076,-73.9223956,288
40.6336432,-73.9175543,332
40.6586476,-73.9286573,298
40.6411019,-73.8981465,313
40.6477076,-73.9223956,309
40.6411019,-73.8981465,441
40.6336432,-73.9175543,280
40.6411019,-73.8981465,312
40.6575157894737,-73.8746814736842,502
40.6612937,-73.8867556006943,468
40.6575157894737,-73.8746814736842,169
40.6669096,-73.8951366397336,296
40.6669096,-73.8951366397336,349
40.6669096,-73.8951366397336,428
40.6669096,-73.8951366397336,309
40.6949237,-73.8470668,322
40.6785352,-73.8752296,1167
40.6949237,-73.8470668,440
40.6949237,-73.8470668,364
40.6949237,-73.8470668,370
40.6737205,-73.8960272495309,463
40.66993855,-73.8743621992004,309
40.6132892,-74.0027186894831,3362
40.6501038,-73.9495822,1313
40.627236,-74.0397374,4317
40.5934382,-73.9862499,345
40.5819151,-73.9703217,517
40.5934382,-73.9862499,323
40.5823627,-73.9683405887919,2313
40.5934382,-73.9862499,551
40.6197588,-73.9589687576607,4021
40.5881877,-73.9817181,1937
40.5934382,-73.9862499,260
40.5934382,-73.9862499,276
40.5833954,-73.9634886563624,636
40.6050263,-73.9953947,902
40.6328096,-73.9525803,3877
40.6102333,-73.9477278263106,3055
40.58036435,-73.9351602236432,1046
40.6491768,-73.9719959193251,618
40.59351635,-73.9366740183486,85
40.6745211,-73.9132592676123,387
40.66552085,-73.9120864553018,328
40.67823125,-73.9158349953074,513
40.66552085,-73.9120864553018,458
40.7408886,-73.874426,50
40.746143,-73.9417359,467
40.746143,-73.9417359,421
40.74336015,-73.8714977,453
40.74336015,-73.8714977,367
40.746143,-73.9417359,600
40.7408886,-73.874426,2074
40.7375492,-73.8530015,887
40.728612,-73.8872009,751
40.7261915,-73.8106968,685
40.7519021,-73.7564120555341,3628
40.7406404,-73.7935669,4058
40.7336845,-73.7387224,2096
40.7713993,-73.7811193519627,3241
40.722672,-73.7168919,1164
