Borough,Census Tract,Population
Brooklyn,24200,2808
Brooklyn,24300,3954
Brooklyn,24400,3069
Brooklyn,24500,3555
Brooklyn,24600,2911
Brooklyn,24700,2349
Brooklyn,24800,2448
Brooklyn,24900,4240
Brooklyn,25000,1532
Brooklyn,25100,3779
Brooklyn,25200,4654
Brooklyn,25300,2528
Brooklyn,25400,3379
Brooklyn,25500,5077
Brooklyn,25600,2956
Brooklyn,25700,2026
Brooklyn,25800,4329
Brooklyn,25901,1887
Brooklyn,25902,3595
Brooklyn,26000,3463
Brooklyn,26100,4445
Brooklyn,26200,2364
Brooklyn,26300,1877
Brooklyn,26400,4440
Brooklyn,26500,3717
Brooklyn,26600,3399
Brooklyn,26700,4151
Brooklyn,26800,4017
Brooklyn,26900,2809
Brooklyn,27000,2337
Brooklyn,27100,2810
Brooklyn,27200,3449
Brooklyn,27300,3061
Brooklyn,27400,2885
Brooklyn,27500,4171
Brooklyn,27600,3331
Brooklyn,27700,4001
Brooklyn,27800,2758
Brooklyn,27900,3791
Brooklyn,28000,1685
Brooklyn,28100,3579
Brooklyn,28200,2890
Brooklyn,28300,3624
Brooklyn,28400,3826
Brooklyn,28501,1422
Brooklyn,28502,2921
Brooklyn,28600,4984
Brooklyn,28700,2755
Brooklyn,28800,3503
Brooklyn,28900,3432
Brooklyn,29000,3802
Brooklyn,29100,2777
Brooklyn,29200,2442
Brooklyn,29300,3277
Brooklyn,29400,2351
Brooklyn,29500,3745
Brooklyn,29600,5343
Brooklyn,29700,3349
Brooklyn,29800,3355
Brooklyn,29900,1657
Brooklyn,30000,3576
Brooklyn,30100,2650
Brooklyn,30200,3711
Brooklyn,30300,3409
Brooklyn,30400,3966
Brooklyn,30500,4777
Brooklyn,30600,1918
Brooklyn,30700,3734
Brooklyn,30800,1691
Brooklyn,30900,1593
Brooklyn,31100,2650
Brooklyn,31300,4782
Brooklyn,31400,4508
Brooklyn,31500,5371
Brooklyn,31701,3673
Brooklyn,31702,3579
Brooklyn,31900,3850
Brooklyn,32100,5612
Brooklyn,32300,3763
Brooklyn,32500,6641
Brooklyn,32600,7247
Brooklyn,32700,3868
Brooklyn,32800,3304
Brooklyn,32900,5856
Brooklyn,33000,5288
Brooklyn,33100,4725
Brooklyn,33300,4491
Brooklyn,33500,3120
Brooklyn,33600,5159
Brooklyn,33700,4541
Brooklyn,33900,4541
Brooklyn,34000,2511
Brooklyn,34100,2779
Brooklyn,34200,7462
Brooklyn,34300,5434
Brooklyn,34500,2529
Brooklyn,34700,3140
Brooklyn,34800,2029
Brooklyn,34900,5572
Brooklyn,35000,3584
Brooklyn,35100,5052
Brooklyn,35200,1267
Brooklyn,35300,5558
Brooklyn,35400,5622
Brooklyn,35500,5433
Brooklyn,35601,2931
Brooklyn,35602,5233
Brooklyn,35700,2295
Brooklyn,35900,5257
Brooklyn,36001,3475
Brooklyn,36002,4230
Brooklyn,36100,2533
Brooklyn,36200,5084
Brooklyn,36300,3664
Brooklyn,36400,2641
Brooklyn,36501,2349
Brooklyn,36502,996
Brooklyn,36600,4449
Brooklyn,36700,1373
Brooklyn,36900,4912
Brooklyn,37000,4062
Brooklyn,37100,3982
Brooklyn,37300,4199
Brooklyn,37401,4384
Brooklyn,37402,4827
Brooklyn,37500,2831
Brooklyn,37700,3827
Brooklyn,37900,2827
Brooklyn,38100,4849
Brooklyn,38200,6161
Brooklyn,38300,3999
Brooklyn,38500,3628
Brooklyn,38600,3377
Brooklyn,38700,3581
Brooklyn,38800,3804
Brooklyn,38900,2287
Brooklyn,39000,2192
Brooklyn,39100,1467
Brooklyn,39200,2789
Brooklyn,39300,2800
Brooklyn,39400,2526
Brooklyn,39500,3636
Brooklyn,39600,2030
Brooklyn,39700,3237
Brooklyn,39800,2391
Brooklyn,39900,3777
Brooklyn,40000,2948
Brooklyn,40100,3157
Brooklyn,40200,2564
Brooklyn,40300,2981
Brooklyn,40400,2109
Brooklyn,40500,1335
Brooklyn,40600,3089
Brooklyn,40700,0
Brooklyn,40800,2921
Brooklyn,40900,3507
Brooklyn,41000,1749
Brooklyn,41100,2837
Brooklyn,41200,2708
Brooklyn,41300,3249
Brooklyn,41401,1390
Brooklyn,41402,1918
Brooklyn,41500,3638
Brooklyn,41600,2483
Brooklyn,41700,3197
Brooklyn,41800,2527
Brooklyn,41900,3908
Brooklyn,42000,2256
Brooklyn,42100,3481
Brooklyn,42200,3674
Brooklyn,42300,2634
Brooklyn,42400,3692
Brooklyn,42500,2260
Brooklyn,42600,3823
Brooklyn,42700,5599
Brooklyn,42800,3655
Brooklyn,42900,5829
Brooklyn,43000,3291
Brooklyn,43100,5276
Brooklyn,43200,3860
Brooklyn,43300,3668
Brooklyn,43400,3529
Brooklyn,43500,4494
Brooklyn,43600,4020
Brooklyn,43700,5027
Brooklyn,43800,2674
Brooklyn,43900,3778
Brooklyn,44000,2726
Brooklyn,44100,5630
Brooklyn,44200,2739
Brooklyn,44300,5210
Brooklyn,44400,3201
Brooklyn,44500,4576
Brooklyn,44600,1819
Brooklyn,44700,1883
Brooklyn,44800,2061
Brooklyn,44900,3100
Brooklyn,45000,738
Brooklyn,45200,2817
Brooklyn,45300,1616
Brooklyn,45400,2110
Brooklyn,45600,2330
Brooklyn,45800,1513
Brooklyn,46000,3668
Brooklyn,46201,2447
Brooklyn,46202,1490
Brooklyn,46400,2537
Brooklyn,46800,982
Brooklyn,47000,3020
Brooklyn,47200,2969
Brooklyn,47400,2983
Brooklyn,47600,3794
Brooklyn,47700,2276
Brooklyn,47800,4916
Brooklyn,48000,3442
Brooklyn,48100,2772
Brooklyn,48200,5310
Brooklyn,48400,5244
Brooklyn,48500,1613
Brooklyn,48600,3576
Brooklyn,48800,4393
Brooklyn,48900,4020
Brooklyn,49000,6153
Brooklyn,49100,5453
Brooklyn,49200,3346
Brooklyn,49300,7681
Brooklyn,49400,5596
Brooklyn,49500,2727
Brooklyn,49600,4560
Brooklyn,49700,2228
Brooklyn,49800,4069
Brooklyn,49900,1649
Brooklyn,50000,3680
Brooklyn,50100,2646
Brooklyn,50202,2150
Brooklyn,50300,2735
Brooklyn,50400,4463
Brooklyn,50500,4211
Brooklyn,50600,6187
Brooklyn,50700,728
Brooklyn,50801,4342
Brooklyn,50803,2896
Brooklyn,50804,6646
Brooklyn,50900,1838
Brooklyn,51001,3829
Brooklyn,51002,5444
Brooklyn,51100,3730
Brooklyn,51200,6871
Brooklyn,51300,4362
Brooklyn,51400,7692
Brooklyn,51500,877
Brooklyn,51601,5587
Brooklyn,51602,4168
Brooklyn,51700,1514
Brooklyn,51800,3678
Brooklyn,51900,3043
Brooklyn,52000,4399
Brooklyn,52300,5729
Brooklyn,52500,3537
Brooklyn,52600,4515
Brooklyn,52700,7277
Brooklyn,52800,2105
Brooklyn,52900,4295
Brooklyn,53000,3564
Brooklyn,53100,2582
Brooklyn,53200,2757
Brooklyn,53300,7560
Brooklyn,53400,4612
Brooklyn,53500,4880
Brooklyn,53700,1963
Brooklyn,53800,4701
Brooklyn,53900,3476
Brooklyn,54200,4469
Brooklyn,54300,38
Brooklyn,54400,3705
Brooklyn,54500,8257
Brooklyn,54600,4571
Brooklyn,54700,3364
Brooklyn,54800,2077
Brooklyn,54900,1488
Brooklyn,55000,3572
Brooklyn,55100,4313
Brooklyn,55200,3489
Brooklyn,55300,2583
Brooklyn,55400,4284
Brooklyn,55500,875
Brooklyn,55600,3806
Brooklyn,55700,1168
Brooklyn,55800,2533
Brooklyn,56000,3571
Brooklyn,56100,3728
Brooklyn,56200,1673
Brooklyn,56300,4440
Brooklyn,56400,2442
Brooklyn,56500,3563
Brooklyn,56600,2577
Brooklyn,56800,1343
Brooklyn,56900,1664
Brooklyn,57000,3292
Brooklyn,57100,5083
Brooklyn,57200,5633
Brooklyn,57300,2787
Brooklyn,57400,2626
Brooklyn,57500,5006
