Borough,Year,FIPS County Code,DCP Borough Code,Census Tract,Population
Brooklyn,2000,047,3,004300,2942
Brooklyn,2000,047,3,004400,2590
Brooklyn,2000,047,3,004500,3444
Brooklyn,2000,047,3,004600,1217
Brooklyn,2000,047,3,004700,1166
Brooklyn,2000,047,3,004900,2593
Brooklyn,2000,047,3,005000,2401
Brooklyn,2000,047,3,005100,2093
Brooklyn,2000,047,3,005201,1781
Brooklyn,2000,047,3,005202,2453
Brooklyn,2000,047,3,005300,1838
Brooklyn,2000,047,3,005400,3205
Brooklyn,2000,047,3,005601,2515
Brooklyn,2000,047,3,005602,1523
Brooklyn,2000,047,3,005800,3308
Brooklyn,2000,047,3,005900,1099
Brooklyn,2000,047,3,006000,2907
Brooklyn,2000,047,3,006200,3062
Brooklyn,2000,047,3,006300,1821
Brooklyn,2000,047,3,006400,3484
Brooklyn,2000,047,3,006500,5136
Brooklyn,2000,047,3,006600,3631
Brooklyn,2000,047,3,006700,3500
Brooklyn,2000,047,3,006800,4781
Brooklyn,2000,047,3,006900,3340
Brooklyn,2000,047,3,007000,2549
Brooklyn,2000,047,3,007100,4609
Brooklyn,2000,047,3,007200,1858
Brooklyn,2000,047,3,007400,5330
Brooklyn,2000,047,3,007500,4454
Brooklyn,2000,047,3,007600,4440
Brooklyn,2000,047,3,007700,3905
Brooklyn,2000,047,3,007800,5018
Brooklyn,2000,047,3,008000,4360
Brooklyn,2000,047,3,008200,4072
Brooklyn,2000,047,3,008400,3229
Brooklyn,2000,047,3,008500,7278
Brooklyn,2000,047,3,008600,0
Brooklyn,2000,047,3,008800,3410
Brooklyn,2000,047,3,009000,2533
Brooklyn,2000,047,3,009200,5160
Brooklyn,2000,047,3,009400,4855
Brooklyn,2000,047,3,009600,5900
Brooklyn,2000,047,3,009800,6121
Brooklyn,2000,047,3,010000,6271
Brooklyn,2000,047,3,010100,4095
Brooklyn,2000,047,3,010200,4616
Brooklyn,2000,047,3,010400,5530
Brooklyn,2000,047,3,010600,5460
Brooklyn,2000,047,3,010800,4773
Brooklyn,2000,047,3,011000,2017
Brooklyn,2000,047,3,011200,6242
Brooklyn,2000,047,3,011400,4116
Brooklyn,2000,047,3,011600,4259
Brooklyn,2000,047,3,011700,2788
Brooklyn,2000,047,3,011800,2009
Brooklyn,2000,047,3,011900,1555
Brooklyn,2000,047,3,012000,1253
Brooklyn,2000,047,3,012100,1796
Brooklyn,2000,047,3,012200,5045
Brooklyn,2000,047,3,012600,2522
Brooklyn,2000,047,3,012700,3405
